start;end;description
421;421;Jordan
422;422;TRANSJORDAN
423;424;KUWAITI
423;424;Kuwait
425;426;LEBANESE
425;426;Maronite
425;425;Lebanon
427;428;SAUDI ARABIAN
427;428;Saudi Arabia
429;430;SYRIAN
429;430;Syria
429;429;Djebel Druze
429;429;Latakia
431;433;ARMENIAN
431;433;Armenia
434;434;TURKISH
434;434;Turkey
435;435;YEMENI
435;435;Yemen Arab Republic
436;441;OMANI
436;436;OMANI
437;437;MUSCAT
438;438;TRUCIAL STATES
438;438;Trucial Oman
439;440;QATAR
441;441;BEDOUIN
442;464;KURDISH
442;443;KURDISH
444;464;KURIA MURIA ISLANDER
465;469;PALESTINIAN
465;465;PALESTINIAN
466;466;GAZA STRIP
467;469;WEST BANK
470;479;SOUTH YEMEN
470;470;SOUTH YEMEN
470;470;Democratic Republic of Yemen
471;479;ADEN
480;481;UNITED ARAB EMIRATES
480;481;Umm Al Qaiwain
480;480;Abu Dhabi
480;480;Ajman
480;480;Dubai
480;480;Fujairah
480;480;Ras Al Kaimah
480;480;Sharjah
482;489;ASSYRIAN
482;489;Telkeffee
482;482;Aramean
482;482;Assyria
482;482;Chaldean
482;482;Chaldo
482;482;Jacobite
482;482;Kaldany
482;482;Kaldu
482;482;Kasddem
482;482;Kasdu
482;482;Nestorian
490;494;MIDEAST
490;494;Middle Eastern
495;499;ARAB
495;495;ARAB
495;495;Arabia
496;499;ARABIC
500;599;SUBSAHARAN AFRICA
500;501;ANGOLAN
500;501;Cabinda
500;500;Angola
502;503;BENIN
502;503;Fon
502;502;Dahomey
504;505;BOTSWANA
504;505;Bechuana
506;507;BURUNDIAN
506;507;Urundi
508;509;CAMEROONIAN
508;509;Fako
508;508;Cameroon
510;511;CAPE VERDEAN
510;511;Cape Verde Islander
510;510;Brava
512;512;CENTRAL AFRICAN REPUBLIC
512;512;Ubangi Shari
513;514;CHADIAN
513;514;Chad
515;518;CONGOLESE
515;515;CONGOLESE
516;518;CONGO BRAZZAVILLE
519;519;DJIBOUTI
519;519;Afars And Issas
519;519;Jibuti
520;521;EQUATORIAL GUINEA
520;520;EQUATORIAL GUINEA
520;520;Rio Muni
521;521;CORSICO ISLANDER
521;521;Annobon Islander
521;521;Bioko Islander
521;521;Elobeis Islander
521;521;Fernando Po Islander
522;524;ETHIOPIAN
522;522;ETHIOPIAN
522;522;Abyssinia
522;522;Ethiopia
523;524;ERITREAN
525;526;GABONESE
525;526;Gabon
527;528;GAMBIAN
527;528;Gambia
529;529;GHANIAN
529;529;Ashanti
529;529;Ghana
529;529;Gold Coast
529;529;TWI
530;530;GUINEAN
530;530;Guinea
531;531;GUINEA BISSAU
532;533;IVORY COAST
534;537;KENYAN
534;537;Kenya
538;540;LESOTHO
538;540;Basuto
541;542;LIBERIAN
541;542;Liberia
543;544;MADAGASCAN
543;544;Madagascar
545;545;MALAWIAN
545;545;Malawi
546;546;MALIAN
546;546;Mali
547;548;MAURITANIAN
547;548;Mauritania
549;549;MOZAMBICAN
549;549;Mozambique
550;550;NAMIBIAN
550;550;Namibia
551;552;NIGER
553;560;NIGERIAN
553;553;NIGERIAN
553;553;Nigeria
554;554;FULAH
554;554;Fulani
555;555;HAUSA
556;556;IBO
557;557;TIV
558;560;YORUBA
561;563;RWANDAN
561;563;Rwanda
564;565;SENEGALESE
564;565;Senegal
564;564;Dakar
566;567;SIERRA LEONEAN
566;567;Sierra Leone
568;568;SOMALIAN
568;568;Somali Republic
568;568;Somalia
569;569;SWAZILAND
570;573;SOUTH AFRICAN
570;570;SOUTH AFRICAN
571;571;UNION OF SOUTH AFRICA
571;571;Orange Free State
571;571;Pretoria
571;571;Transkei
571;571;Transvaal
572;572;AFRIKANER
572;572;Boer
573;573;NATALIAN
574;575;ZULU
574;575;Zululand
576;581;SUDANESE
576;576;SUDANESE
576;576;Sudan
577;577;DINKA
578;578;NUER
579;579;FUR
579;579;Darfur
580;581;BAGGARA
582;585;TANZANIAN
582;582;TANZANIAN
582;582;Tanzania
583;583;TANGANYIKAN
584;585;ZANZIBAR ISLANDER
586;587;TOGO
586;587;Togoland
588;588;UGANDAN
588;588;Lugbara
588;588;Uganda
589;590;UPPER VOLTAN
589;589;UPPER VOLTAN
590;590;VOLTA
591;591;ZAIRIAN
591;591;Belgian Congo
591;591;Congo Kinshasa
591;591;Zaire
592;592;ZAMBIAN
592;592;Zambia
593;593;ZIMBABWEAN
593;593;Rhodesia
593;593;Zimbabwe
594;595;AFRICA ISLANDS (EXCEPT MADAGASCAR)
594;594;AFRICA ISLANDS
594;594;Comoros Islander
594;594;Principe Islander
594;594;Reunion Islander
594;594;Sao Tome Islander
594;594;Seychelles Islander
594;594;St. Helena Islander
594;594;St. Pierre Islander
594;594;Tristan De Cunha Islander
595;595;MAURITIAN
595;595;Mauritius Islander
596;599;SUBSAHARAN AFRICAN, N.E.C.
596;596;CENTRAL AFRICAN
596;596;Central Africa
596;596;Middle Congo
597;597;EAST AFRICAN
597;597;East Africa
597;597;Galla
597;597;Kikuyu
597;597;Masai
598;598;WEST AFRICAN
598;598;West Africa
599;599;AFRICAN
599;599;Africa
600;699;SOUTH ASIA
600;602;AFGHANISTAN
600;600;AFGHANISTAN
601;601;BALUCHISTAN
602;602;PATHAN
603;606;BANGLADESHI
603;606;East Pakistan
603;603;Bangladesh
607;608;BHUTANESE
607;608;Bhotan
609;614;NEPALI
609;614;Nepal
615;679;ASIAN INDIAN
615;615;ASIAN INDIAN
615;615;Behar
615;615;Dravidian
615;615;Hindu
615;615;Indo Aryan
615;615;Sikh
616;617;KASHMIR
618;619;BENGALI
620;621;EAST INDIAN
622;623;Nocobar Islander
622;622;ANDAMAN ISLANDER
624;625;ANDHRA PRADESH
626;627;ASSAMESE
628;629;GOANESE
630;631;GUJARATI
632;633;KARNATAKAN
634;635;KERALAN
636;637;MADHYA PRADESH
638;639;MAHARASHTRAN
640;641;MADRAS
642;643;MYSORE
644;645;NAGALAND
646;647;ORISSA
648;649;PONDICHERRY
650;651;PUNJAB
652;653;RAJASTHAN
654;655;SIKKIM
656;657;TAMIL NADU
658;674;UTTAR PRADESH
675;679;EAST INDIES
680;689;PAKISTANI
680;689;West Pakistan
680;680;Jammu
680;680;Pakistan
680;680;Sind
690;694;SRI LANKAN
690;690;SRI LANKAN
690;690;Ceylon
690;690;Sri Lanka
691;691;SINGHALESE
692;694;VEDDAH
695;699;MALDIVIAN
695;699;Maldive Islander
695;695;Kampuchean
700;799;OTHER ASIA
700;702;BURMESE
700;701;Palaung
700;700;BURMESE
700;700;Cachin
700;700;Karen
700;700;Mon
702;702;SHAN
703;705;CAMBODIAN
703;703;CAMBODIAN
703;703;Cambodia
703;703;Kampuchea
704;705;KHMER
706;711;CHINESE
706;706;CHINESE
706;706;China
706;706;Jehol
706;706;Sino Chinese
706;706;Yao
707;707;CANTONESE
708;708;MANCHURIA
709;711;MANDARIN
712;713;MONGOLIAN
712;713;Mongolia
712;712;Buriat
714;715;TIBETAN
714;715;Tibet
